Code,Name,OfficialName,OtherNames,Level,M49Code,ContinentCode,SubregionCode,CountryCode,CountryCodeISOa3,SubdivisionCode,Lat,Lon,Population,GleamID
G-DAX,Dazhou,,,gleam_basin,,W-AS,,CN,CHN,,,,131000.0,487
G-DAY,Dayton,,,gleam_basin,,W-NA,,US,USA,,,,718000.0,2534
G-DBA,Dalbandin,,,gleam_basin,,W-AS,,PK,PAK,,,,,107
G-DBO,Dubbo,,,gleam_basin,,W-OC,,AU,AUS,,,,32000.0,1578
G-DBQ,Dubuque,,,gleam_basin,,W-NA,,US,USA,,,,69000.0,2082
G-DBV,Dubrovnik,,,gleam_basin,,W-EU,,HR,HRV,,,,37000.0,285
G-DCN,Derby,,,gleam_basin,,W-OC,,AU,AUS,,,,24000.0,1582
G-DCY,Daocheng,,,gleam_basin,,W-AS,,CN,CHN,,,,,326
G-DDC,Dodge City,,,gleam_basin,,W-NA,,US,USA,,,,28000.0,2345
G-DDG,Dandong,,,gleam_basin,,W-AS,,CN,CHN,,,,870000.0,428
G-DDU,Dadu,,,gleam_basin,,W-AS,,PK,PAK,,,,140000.0,126
G-DEA,Dera Ghazi Khan,,,gleam_basin,,W-AS,,PK,PAK,,,,236000.0,129
G-DEB,Debrecen,,,gleam_basin,,W-EU,,HU,HUN,,,,231000.0,831
G-DEC,Decatur,,,gleam_basin,,W-NA,,US,USA,,,,89000.0,2367
G-DED,Dehra Dun,,,gleam_basin,,W-AS,,IN,IND,,,,714000.0,1100
G-DEE,Yuzhno-Kurilsk,,,gleam_basin,,W-EU,,RU,RUS,,,,,1888
G-DEF,Dezful,,,gleam_basin,,W-AS,,IR,IRN,,,,315000.0,2958
G-DEL,Delhi,,,gleam_basin,,W-AS,,IN,IND,,,,15926000.0,1099
G-DEN,Denver,,,gleam_basin,,W-NA,,US,USA,,,,2787000.0,2366
G-DFW,Dallas,,,gleam_basin,,W-NA,,US,USA,,,,5733000.0,2533
G-DGA,Dangriga,,,gleam_basin,,W-NA,,BZ,BLZ,,,,11000.0,863
G-DGE,Mudgee,,,gleam_basin,,W-OC,,AU,AUS,,,,5000.0,1667
G-DGO,Durango (MX),,,gleam_basin,,W-NA,,MX,MEX,,,,,1029
G-DGT,Dumaguete,,,gleam_basin,,W-AS,,PH,PHL,,,,114000.0,591
G-DHI,Dhangarhi,,,gleam_basin,,W-AS,,NP,NPL,,,,92000.0,558
G-DHM,Dharamsala,,,gleam_basin,,W-AS,,IN,IND,,,,20000.0,1070
G-DHN,Dothan,,,gleam_basin,,W-NA,,US,USA,,,,72000.0,2134
G-DIB,Dibrugarh,,,gleam_basin,,W-AS,,IN,IND,,,,166000.0,1077
G-DIE,Antsiranana,,,gleam_basin,,W-AF,,MG,MDG,,,,83000.0,1446
G-DIG,Deqen,,,gleam_basin,,W-AS,,CN,CHN,,,,62000.0,377
G-DIK,Dickinson,,,gleam_basin,,W-NA,,US,USA,,,,22000.0,2289
G-DIL,Dili,,,gleam_basin,,W-AS,,TL,TLS,,,,234000.0,1427
G-DIN,Dien Bien Phu,,,gleam_basin,,W-AS,,VN,VNM,,,,40000.0,1126
G-DIR,Dire Dawa,,,gleam_basin,,W-AF,,ET,ETH,,,,252000.0,229
G-DIU,Diu,,,gleam_basin,,W-AS,,IN,IND,,,,24000.0,1078
G-DIW,Dickwella,,,gleam_basin,,W-AS,,LK,LKA,,,,,755
G-DIY,Diyarbakir,,,gleam_basin,,W-AS,,TR,TUR,,,,645000.0,1761
G-DJB,Jambi,,,gleam_basin,,W-AS,,ID,IDN,,,,457000.0,1268
G-DJE,Djerba,,,gleam_basin,,W-AF,,TN,TUN,,,,,1791
G-DJG,Djanet,,,gleam_basin,,W-AF,,DZ,DZA,,,,1000.0,31
G-DJJ,Jayapura,,,gleam_basin,,W-AS,,ID,IDN,,,,169000.0,1269
G-DKA,Katsina,,,gleam_basin,,W-AF,,NG,NGA,,,,432000.0,1418
G-DKI,Dunk Island,,,gleam_basin,,W-OC,,AU,AUS,,,,,1632
G-DKR,Dakar,,,gleam_basin,,W-AF,,SN,SEN,,,,2604000.0,1475
G-DKS,Dikson,,,gleam_basin,,W-EU,,RU,RUS,,,,1000.0,1864
G-DLA,Douala,,,gleam_basin,,W-AF,,CM,CMR,,,,1906000.0,805
G-DLC,Dalian,,,gleam_basin,,W-AS,,CN,CHN,,,,3167000.0,394
G-DLE,Dole,,,gleam_basin,,W-EU,,FR,FRA,,,,26000.0,1509
G-DLG,Dillingham,,,gleam_basin,,W-NA,,US,USA,,,,,2472
G-DLH,Duluth,,,gleam_basin,,W-NA,,US,USA,,,,120000.0,2085
G-DLI,Dalat,,,gleam_basin,,W-AS,,VN,VNM,,,,,1120
G-DLM,Dalaman,,,gleam_basin,,W-AS,,TR,TUR,,,,19000.0,1743
G-DLU,Dali,,,gleam_basin,,W-AS,,CN,CHN,,,,157000.0,388
G-DLZ,Dalanzadgad,,,gleam_basin,,W-AS,,MN,MNG,,,,15000.0,846
G-DMB,Taraz,,,gleam_basin,,W-AS,,KZ,KAZ,,,,358000.0,670
G-DMD,Doomadgee Mission,,,gleam_basin,,W-OC,,AU,AUS,,,,,1584
G-DME,Moscow,,,gleam_basin,,W-EU,,RU,RUS,,,,10452000.0,1890
G-DMM,Dammam,,,gleam_basin,,W-AS,,SA,SAU,,,,769000.0,247
G-DMU,Dimapur,,,gleam_basin,,W-AS,,IN,IND,,,,136000.0,1060
G-DND,Dundee,,,gleam_basin,,W-EU,,GB,GBR,,,,152000.0,763
G-DNH,Dunhuang,,,gleam_basin,,W-AS,,CN,CHN,,,,140000.0,340
G-DNK,Dnipropetrovsk,,,gleam_basin,,W-EU,,UA,UKR,,,,,2785
G-DNR,St-Malo,,,gleam_basin,,W-EU,,FR,FRA,,,,,1500
G-DNZ,Denizli,,,gleam_basin,,W-AS,,TR,TUR,,,,372000.0,1747
G-DOB,Dobo,,,gleam_basin,,W-AS,,ID,IDN,,,,,1282
G-DOG,Dongola,,,gleam_basin,,W-AF,,SD,SDN,,,,26000.0,3018
G-DOH,Doha,,,gleam_basin,,W-AS,,QA,QAT,,,,1450000.0,73
G-DOK,Donetsk,,,gleam_basin,,W-EU,,UA,UKR,,,,51000.0,2783
G-DOM,Dominica,,,gleam_basin,,W-NA,,DM,DMA,,,,,716
G-DOP,Dolpa,,,gleam_basin,,W-AS,,NP,NPL,,,,,555
G-DOU,Dourados,,,gleam_basin,,W-SA,,BR,BRA,,,,162000.0,1960
G-DOV,Dover,,,gleam_basin,,W-NA,,US,USA,,,,115000.0,2179
G-DOY,Dongying,,,gleam_basin,,W-AS,,CN,CHN,,,,789000.0,352
G-DPL,Dipolog,,,gleam_basin,,W-AS,,PH,PHL,,,,94000.0,588
G-DPO,Devonport,,,gleam_basin,,W-OC,,AU,AUS,,,,19000.0,1575
G-DPS,Denpasar,,,gleam_basin,,W-AS,,ID,IDN,,,,732000.0,1238
G-DQA,Daqing,,,gleam_basin,,W-AS,,CN,CHN,,,,1693000.0,329
G-DRG,Deering,,,gleam_basin,,W-NA,,US,USA,,,,,2130
G-DRO,Durango (US),,,gleam_basin,,W-NA,,US,USA,,,,,2128
G-DRS,Dresden,,,gleam_basin,,W-EU,,DE,DEU,,,,618000.0,727
G-DRT,Del Rio,,,gleam_basin,,W-NA,,US,USA,,,,44000.0,2127
G-DRV,Dharavandhoo Island,,,gleam_basin,,W-AS,,MV,MDV,,,,,1478
G-DRW,Darwin,,,gleam_basin,,W-OC,,AU,AUS,,,,93000.0,1589
G-DSA,Doncaster,,,gleam_basin,,W-EU,,GB,GBR,,,,18000.0,778
G-DSK,Dera Ismail Khan,,,gleam_basin,,W-AS,,PK,PAK,,,,102000.0,116
G-DSM,Des Moines,,,gleam_basin,,W-NA,,US,USA,,,,481000.0,2173
G-DSN,Ordos,,,gleam_basin,,W-AS,,CN,CHN,,,,1941000.0,349
G-DTD,Datadawai,,,gleam_basin,,W-AS,,ID,IDN,,,,,1293
G-DTM,Dortmund,,,gleam_basin,,W-EU,,DE,DEU,,,,588000.0,745
G-DTW,Detroit,,,gleam_basin,,W-NA,,US,USA,,,,3522000.0,2397
G-DUB,Dublin,,,gleam_basin,,W-EU,,IE,IRL,,,,1059000.0,2925
G-DUD,Dunedin,,,gleam_basin,,W-OC,,NZ,NZL,,,,118000.0,3061
G-DUJ,Dubois,,,gleam_basin,,W-NA,,US,USA,,,,11000.0,2449
G-DUR,Durban,,,gleam_basin,,W-AF,,ZA,ZAF,,,,2729000.0,639
G-DUS,Duesseldorf,,,gleam_basin,,W-EU,,DE,DEU,,,,573000.0,750
G-DUT,Dutch Harbor,,,gleam_basin,,W-NA,,US,USA,,,,,2451
G-DVD,Andavadoaka,,,gleam_basin,,W-AF,,MG,MDG,,,,,1458
G-DVL,Devils Lake,,,gleam_basin,,W-NA,,US,USA,,,,8000.0,2481
G-DVO,Davao,,,gleam_basin,,W-AS,,PH,PHL,,,,1402000.0,619
G-DWD,Dawadmi,,,gleam_basin,,W-AS,,SA,SAU,,,,,270
G-DXB,Dubai,,,gleam_basin,,W-AS,,AE,ARE,,,,1379000.0,3181
G-DYG,Zhangjiajie,,,gleam_basin,,W-AS,,CN,CHN,,,,86000.0,404
G-DYR,Anadyr,,,gleam_basin,,W-EU,,RU,RUS,,,,,1862
G-DYU,Dushanbe,,,gleam_basin,,W-AS,,TJ,TJK,,,,1086000.0,975
G-DZA,Dzaoudzi,,,gleam_basin,,W-AF,,YT,MYT,,,,15000.0,199
G-DZN,Zhezkazgan,,,gleam_basin,,W-AS,,KZ,KAZ,,,,,666
G-EAA,Eagle,,,gleam_basin,,W-NA,,US,USA,,,,1000.0,2157
G-EAM,Nejran,,,gleam_basin,,W-AS,,SA,SAU,,,,,248
G-EAR,Kearney,,,gleam_basin,,W-NA,,US,USA,,,,34000.0,2159
G-EAT,Wenatchee,,,gleam_basin,,W-NA,,US,USA,,,,72000.0,2161
G-EAU,Eau Claire,,,gleam_basin,,W-NA,,US,USA,,,,107000.0,2160
