Code,Date,Mean,Variance,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09,0.10,0.11,0.12,0.13,0.14,0.15,0.16,0.17,0.18,0.19,0.20,0.21,0.22,0.23,0.24,0.25,0.26,0.27,0.28,0.29,0.30,0.31,0.32,0.33,0.34,0.35,0.36,0.37,0.38,0.39,0.40,0.41,0.42,0.43,0.44,0.45,0.46,0.47,0.48,0.49,0.50,0.51,0.52,0.53,0.54,0.55,0.56,0.57,0.58,0.59,0.60,0.61,0.62,0.63,0.64,0.65,0.66,0.67,0.68,0.69,0.70,0.71,0.72,0.73,0.74,0.75,0.76,0.77,0.78,0.79,0.80,0.81,0.82,0.83,0.84,0.85,0.86,0.87,0.88,0.89,0.90,0.91,0.92,0.93,0.94,0.95,0.96,0.97,0.98,0.99
AZ,2020-04-26 23:22:00+00:00,14307.62,3.222674e+08,1181.515,1480.628,1779.741,2078.854,2078.854,2377.968,2377.968,2677.081,2677.081,2976.194,2976.194,3275.307,3275.307,3574.42,3574.42,3873.533,3873.533,4172.646,4172.646,4471.76,4471.76,4770.873,4770.873,4770.873,5069.986,5069.986,5369.099,5369.099,5668.212,5668.212,5967.325,5967.325,6266.438,6565.551,6565.551,6864.665,6864.665,7163.778,7163.778,7462.891,7462.891,7762.004,8061.117,8061.117,8360.23,8659.343,8659.343,8958.456,9257.57,9257.57,9556.683,9855.796,10154.91,10154.91,10454.02,10753.14,11052.25,11351.36,11650.47,11949.59,12248.7,12547.81,12846.93,13146.04,13445.15,13744.27,14043.38,14342.49,14940.72,15239.83,15538.95,16137.17,16436.28,17034.51,17632.74,17931.85,18530.08,19128.3,19726.53,20324.76,21222.09,21820.32,22717.66,23615,24512.34,25409.68,26606.13,27802.58,29298.15,30793.71,32588.39,34682.19,37075.09,39767.11,43356.47,47843.16,54423.65,63995.27,83736.74
BE,2020-03-08 18:33:00+00:00,8455.671,1.097467e+08,339.9254,339.9254,461.6171,461.6171,461.6171,583.3087,583.3087,583.3087,583.3087,583.3087,705.0004,705.0004,705.0004,705.0004,705.0004,826.6921,826.6921,826.6921,826.6921,948.3837,948.3837,948.3837,948.3837,948.3837,1070.075,1070.075,1070.075,1070.075,1191.767,1191.767,1191.767,1313.459,1313.459,1313.459,1435.15,1435.15,1556.842,1556.842,1678.534,1678.534,1800.225,1921.917,1921.917,2043.609,2165.3,2408.684,2530.375,2895.45,3260.525,3747.292,4355.75,4842.517,5329.284,5816.05,6302.817,6667.892,7032.967,7398.042,7763.117,8128.192,8371.575,8736.65,9101.725,9345.108,9710.183,10075.26,10440.33,10683.72,11048.79,11413.87,11778.94,12144.02,12509.09,12874.17,13239.24,13726.01,14091.08,14577.85,14942.92,15429.69,15916.46,16403.22,17011.68,17498.45,18106.91,18837.06,19445.52,20175.67,21027.51,21879.35,22974.57,24069.8,25286.72,26747.02,28572.39,30762.84,33561.75,37820.96,45365.84
BE,2020-03-15 18:35:00+00:00,5275.369,2.135415e+07,756.0168,941.672,1065.442,1127.327,1251.097,1312.982,1374.867,1436.752,1560.523,1622.408,1684.293,1746.178,1808.063,1869.948,1931.833,1993.718,2055.603,2055.603,2117.488,2179.373,2241.258,2303.143,2365.028,2426.913,2488.799,2550.684,2612.569,2674.454,2736.339,2798.224,2798.224,2860.109,2921.994,2983.879,3045.764,3107.649,3169.534,3231.419,3293.304,3355.189,3417.074,3478.959,3540.845,3664.615,3726.5,3788.385,3850.27,3912.155,3974.04,4035.925,4159.695,4221.58,4283.465,4345.35,4469.12,4531.006,4592.891,4716.661,4778.546,4902.316,4964.201,5087.971,5149.856,5273.626,5397.396,5459.281,5583.052,5706.822,5830.592,5954.362,6078.132,6201.902,6325.672,6511.327,6635.098,6820.753,6944.523,7130.178,7315.833,7501.488,7749.029,7934.684,8182.224,8429.764,8677.305,8986.73,9296.155,9605.58,9976.891,10410.09,10843.28,11400.25,12019.1,12699.83,13566.22,14680.16,16227.28,18455.14,22725.21
BE,2020-04-05 16:43:00+00:00,372307.2,1.150631e+12,45779.41,45779.41,45779.41,45779.41,45779.41,45779.41,88629.93,88629.93,88629.93,88629.93,88629.93,88629.93,88629.93,88629.93,88629.93,88629.93,88629.93,88629.93,131480.4,131480.4,131480.4,131480.4,131480.4,131480.4,131480.4,131480.4,131480.4,131480.4,174331,174331,174331,174331,174331,174331,174331,174331,174331,217181.5,217181.5,217181.5,217181.5,217181.5,217181.5,217181.5,217181.5,260032,260032,260032,260032,260032,260032,260032,302882.5,302882.5,302882.5,302882.5,302882.5,302882.5,345733,345733,345733,345733,345733,345733,388583.6,388583.6,388583.6,388583.6,431434.1,431434.1,431434.1,431434.1,431434.1,474284.6,474284.6,474284.6,517135.1,517135.1,517135.1,559985.6,559985.6,559985.6,602836.1,602836.1,645686.7,645686.7,688537.2,688537.2,731387.7,774238.2,817088.7,859939.2,902789.8,945640.3,1031341,1117042,1288444,1545548,2274006
BE,2020-05-03 16:46:00+00:00,716706.9,9.38525e+11,62189.46,62189.46,79031.8,95874.14,95874.14,112716.5,112716.5,112716.5,129558.8,129558.8,146401.2,146401.2,163243.5,163243.5,163243.5,180085.8,180085.8,196928.2,196928.2,196928.2,213770.5,213770.5,230612.9,230612.9,230612.9,247455.2,247455.2,264297.5,264297.5,281139.9,281139.9,281139.9,297982.2,297982.2,314824.6,314824.6,331666.9,331666.9,348509.2,348509.2,365351.6,365351.6,382193.9,399036.3,399036.3,415878.6,415878.6,432720.9,449563.3,449563.3,466405.6,466405.6,483248,500090.3,516932.6,516932.6,533775,550617.3,567459.7,584302,584302,601144.3,617986.7,634829,651671.4,668513.7,685356,702198.4,735883.1,752725.4,769567.7,786410.1,820094.8,836937.1,870621.8,887464.1,921148.8,954833.5,988518.2,1022203,1055888,1089572,1140099,1190626,1241153,1291680,1342207,1409577,1476946,1561158,1662212,1763266,1898005,2049586,2234851,2487486,2824333,3363288,4458040
BF,2020-03-08 11:45:00+00:00,464.7299,96138.38,98.96666,116.6442,127.2508,137.8573,148.4638,155.5349,162.6059,169.6769,176.7479,183.819,190.89,194.4255,201.4965,205.0321,212.1031,215.6386,222.7096,226.2451,233.3162,236.8517,243.9227,247.4582,250.9937,258.0648,261.6003,268.6713,272.2068,275.7423,282.8133,286.3489,289.8844,296.9554,300.4909,307.5619,311.0975,314.633,321.704,325.2395,332.3105,335.846,342.9171,346.4526,353.5236,357.0591,364.1301,367.6657,374.7367,378.2722,385.3432,392.4143,395.9498,403.0208,410.0918,413.6273,420.6984,427.7694,434.8404,441.9114,448.9825,456.0535,463.1245,470.1955,477.2666,484.3376,491.4086,498.4796,509.0862,516.1572,526.7638,533.8348,544.4413,551.5123,562.1189,572.7254,583.332,593.9385,608.0806,618.6871,632.8292,646.9712,661.1133,675.2553,689.3974,707.0749,724.7525,742.4301,763.6431,788.3917,813.1403,837.8889,869.7085,905.0637,943.9543,986.3805,1042.949,1110.123,1202.047,1336.396,1580.347
BF,2020-03-15 11:49:00+00:00,543.2329,78615.45,159.9473,182.4158,196.4587,210.5015,221.7357,230.1614,238.5871,247.0128,255.4385,263.8642,269.4813,277.907,283.5241,289.1412,294.7584,303.184,308.8012,314.4183,320.0354,325.6526,331.2697,336.8868,342.5039,345.3125,350.9296,356.5467,362.1639,367.781,373.3981,379.0152,384.6324,387.4409,393.0581,398.6752,404.2923,409.9094,415.5266,421.1437,423.9523,429.5694,435.1865,440.8036,446.4208,452.0379,457.655,463.2721,468.8893,474.5064,480.1235,485.7406,491.3578,496.9749,502.592,511.0177,516.6348,522.252,527.8691,536.2948,541.9119,547.529,555.9547,561.5718,569.9975,578.4232,584.0403,592.466,600.8917,609.3174,617.7431,626.1688,634.5945,643.0202,651.4459,662.6801,671.1058,682.3401,693.5743,704.8086,716.0428,727.2771,741.3199,752.5541,766.5969,783.4483,797.4911,817.1511,834.0025,853.6624,876.1309,898.5994,923.8765,954.7707,985.6649,1024.985,1069.922,1126.093,1199.116,1305.841,1494.015
BF,2020-04-05 11:49:00+00:00,13650.37,2.865633e+08,896.905,1252.975,1609.045,1609.045,1965.116,1965.116,1965.116,2321.186,2321.186,2677.256,2677.256,2677.256,3033.326,3033.326,3389.396,3389.396,3389.396,3745.466,3745.466,3745.466,4101.537,4101.537,4457.607,4457.607,4457.607,4813.677,4813.677,5169.747,5169.747,5525.817,5525.817,5525.817,5881.887,5881.887,6237.958,6237.958,6594.028,6594.028,6950.098,6950.098,7306.168,7306.168,7662.238,7662.238,8018.308,8018.308,8374.379,8730.449,8730.449,9086.519,9086.519,9442.589,9798.659,9798.659,10154.73,10510.8,10866.87,10866.87,11222.94,11579.01,11935.08,12291.15,12291.15,12647.22,13003.29,13359.36,13715.43,14071.5,14427.57,14783.64,15495.78,15851.85,16207.92,16563.99,17276.13,17632.2,18344.34,18700.41,19412.55,20124.69,20836.83,21548.98,22261.12,23329.33,24041.47,25109.68,26177.89,27246.1,28670.38,30094.66,31875.01,33655.36,36147.85,38640.34,41844.98,46117.82,52171.01,61072.76,78876.27
BF,2020-05-03 11:49:00+00:00,9362.654,1.495792e+08,792.6818,1001.241,1001.241,1209.8,1418.359,1418.359,1626.918,1626.918,1835.477,1835.477,1835.477,2044.036,2044.036,2252.595,2252.595,2461.154,2461.154,2461.154,2669.713,2669.713,2878.272,2878.272,3086.831,3086.831,3295.39,3295.39,3295.39,3503.949,3503.949,3712.508,3712.508,3921.067,3921.067,4129.626,4129.626,4338.185,4338.185,4546.744,4546.744,4755.303,4755.303,4963.862,5172.421,5172.421,5380.98,5380.98,5589.539,5798.098,5798.098,6006.657,6215.217,6215.217,6423.776,6632.335,6840.894,6840.894,7049.453,7258.012,7466.571,7675.13,7883.689,8092.248,8300.807,8509.366,8717.925,8926.484,9135.043,9343.602,9552.161,9969.279,10177.84,10386.4,10803.52,11012.07,11429.19,11637.75,12054.87,12471.99,12889.11,13306.22,13723.34,14349.02,14766.14,15391.81,16017.49,16851.73,17477.4,18311.64,19354.44,20397.23,21440.03,22899.94,24568.41,26445.44,28948.15,32076.54,36247.72,43130.16,56686.5
BR,2020-04-19 23:21:00+00:00,276248.5,1.086771e+11,22265.6,32932.89,38266.53,38266.53,43600.17,48933.82,48933.82,54267.46,54267.46,59601.11,64934.75,64934.75,70268.4,70268.4,75602.04,75602.04,80935.68,80935.68,86269.33,86269.33,91602.97,91602.97,96936.62,96936.62,102270.3,102270.3,107603.9,112937.6,112937.6,118271.2,118271.2,123604.8,123604.8,128938.5,134272.1,134272.1,139605.8,139605.8,144939.4,150273.1,150273.1,155606.7,160940.4,160940.4,166274,171607.6,171607.6,176941.3,182274.9,187608.6,187608.6,192942.2,198275.9,203609.5,208943.2,214276.8,219610.4,224944.1,230277.7,235611.4,240945,246278.7,251612.3,256945.9,262279.6,267613.2,272946.9,283614.2,288947.8,299615.1,304948.7,315616,320949.7,331617,342284.3,347617.9,358285.2,374286.1,384953.4,395620.7,406288,422288.9,438289.9,454290.8,470291.7,491626.3,512960.9,534295.5,560963.7,587631.9,619633.8,656969.3,704972.1,758308.5,822312.3,902316.9,1019657,1195667,1553022
